Duration (in seconds),Finished,RecordedDate,ResponseId,Q1,Q1_11_TEXT,Q3,Q5,Q5_17_TEXT,Q25,Q25_17_TEXT,Q22,Q22_10_TEXT,Q7,Q26,Job types,Mismatch,Response type,Communication type most helpful,Overdose burden,Communication type most common,Communication passive active
1306,TRUE,12/9/2024 13:38,R_3Htva6pYNmh0Mwf,Harm reduction organization/SSP,,New Haven,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues,Communication with patients/clients",,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source",,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Provide people who use drugs with harm reduction education [""don't use alone and go slow""]",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",Department of Public Health [DPH],SSPs and substance use treatment,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
138,TRUE,12/9/2024 13:46,R_1FFyzG3IVvFea4A,"Local ambulance/EMS service,Hospital",,Hartford,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Insights from harm reduction services",,ODMAP spike alert emails from local health governance [e.g. local health department/health district],,Be on higher alert for an influx of patients,,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,First responder,No,Clinical and operational changes,Local alerts,Higher overdose burden,State alerts,Passive
110,TRUE,12/9/2024 14:00,R_1DU6tjQ7UqXzIWU,Fire department,,Hartford,I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,Refer patients/clients to local drug testing sites,,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,First responder,No,Outreach to PWUD,I don't receive updates or information about overdoses,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
230,TRUE,12/9/2024 14:32,R_62VM8d1f1GFOuSa,Other [please explain below],Hospital based EMS Service,"Fairfield,Litchfield",Other [please include more information below],None of these,Other [please include more information below],Can’t say…I’ve never accessed them,Other [please explain below],None of these,I am not sure,,First responder,No,Other,Other,Higher overdose burden,Other,Other
177,TRUE,12/9/2024 15:11,R_30bLFRg1WyV0k1f,"Fire department,Local ambulance/EMS service",,"Tolland,Hartford",I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,Be on higher alert for an influx of patients,,I am not sure,My organization does not receive external funding for overdose prevention,First responder,No,Clinical and operational changes,I don't receive updates or information about overdoses,Lower overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
67,TRUE,12/9/2024 15:40,R_1iajzf4YgEaOK5N,"Local ambulance/EMS service,Hospital",,"Fairfield,New Haven,Hartford",I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,"Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Investigate reasons for recent overdoses,Refer patients/clients to local drug testing sites",,I am not sure,My organization does not receive external funding for overdose prevention,First responder,No,Informing the public,I don't receive updates or information about overdoses,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
126,TRUE,12/9/2024 18:35,R_5vhJ96A7dCe0PpP,Fire department,,Tolland,I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Be on higher alert for an influx of patients",,Organization does not receive information from CT DPH,Department of Public Health [DPH],First responder,No,Outreach to PWUD,I don't receive updates or information about overdoses,Lower overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
576,TRUE,12/9/2024 18:41,R_6pxTrW2Ah3XOWzE,Local ambulance/EMS service,,Hartford,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""]",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],First responders,Paramedics",My organization does not receive external funding for overdose prevention,First responder,No,Outreach to PWUD,State alerts,Higher overdose burden,State alerts,Passive
205,TRUE,12/9/2024 20:53,R_3dpeEZOGTrVPorD,"Fire department,Local ambulance/EMS service",,"Litchfield,Hartford",I don’t receive updates or information about overdoses,,Communication with colleagues,,Be on higher alert for an influx of patients,,I am not sure,My organization does not receive external funding for overdose prevention,First responder,Yes,Clinical and operational changes,Peer information sharing,Lower overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
221,TRUE,12/9/2024 21:15,R_32ljXcc1qp0rljg,Fire department,,Hartford,"Communication with colleagues,Communication with patients/clients",,Communication with colleagues,,Other [please explain below],Vague question. We have no community outreach services but respond with naloxone,"Medical providers,First responders",Other harm reduction funding,First responder,No,Other,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
33058,TRUE,12/10/2024 4:25,R_5fE4CdJtC1KC8TB,Local ambulance/EMS service,,"Tolland,Windham,Hartford","Communication with colleagues,Communication with patients/clients",,Communication with colleagues,,Other [please explain below],Respond to 911 calls for overdoses and provide individualized emergency medical care and transport to hospitals.,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,First responder,No,Other,Peer information sharing,Lower overdose burden,Peer information sharing,Collaborative
929,TRUE,12/10/2024 4:44,R_5YJHsfTacVaxB8P,Local ambulance/EMS service,,Tolland,Communication with colleagues,,Communication with colleagues,,Other [please explain below],Respond and treat and transport. That is all.,I am not sure,,First responder,No,Other,Peer information sharing,Lower overdose burden,Peer information sharing,Collaborative
375,TRUE,12/10/2024 4:46,R_5EZgk6TDPqMthEr,"Local ambulance/EMS service,Hospital,Local health department/district,Other [please explain below]", Volunteer fire dept,Fairfield,"I don’t receive updates or information about overdoses,Other [please include more information below]","In a few very rare occasion I receive email from DPH but thru my public job, not EMS.",I don’t receive updates or information about overdoses,,Other [please explain below],When we get the calls we respond. ,I am not sure,My organization does not receive external funding for overdose prevention,First responder,No,Other,I don't receive updates or information about overdoses,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
135,TRUE,12/10/2024 8:05,R_7qJQx49oumKRWWX,Harm reduction organization/SSP,,New Haven,"Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Phone calls from CT DPH,Communication with colleagues,Insights from harm reduction services",,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients,Investigate reasons for recent overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach",Department of Public Health [DPH],SSPs and substance use treatment,Yes,Outreach to PWUD,State alerts,Higher overdose burden,State alerts,Collaborative
95,TRUE,12/10/2024 8:59,R_7V90m9bwi371JnM,Local ambulance/EMS service,,"Fairfield,New Haven",I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,Be on higher alert for an influx of patients,,I am not sure,My organization does not receive external funding for overdose prevention,First responder,No,Clinical and operational changes,I don't receive updates or information about overdoses,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
401,TRUE,12/10/2024 11:02,R_60MPux0STifFd7O,"Fire department,Local ambulance/EMS service",,Hartford,"Communication with colleagues,I don’t receive updates or information about overdoses",,Other [please include more information below],Dispatch ,Other [please explain below],Ambulance ,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,First responder,Yes,Other,Other,Higher overdose burden,Peer information sharing,Collaborative
628,TRUE,12/10/2024 11:21,R_6rUXvtexBBQd8M4,Local health department/district,,New Haven,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],ODMAP spike alert text messages from local health governance,Review of ODMAP or other overdose data [e.g. EpiCenter],Phone calls from CT DPH,Communication with colleagues,Insights from harm reduction services,Insights from nearby drug testing sites",,Text messages about overdoses [not from ODMAP],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",Department of Public Health [DPH],Government and health district,Yes,Outreach to PWUD,Peer information sharing,Higher overdose burden,State alerts,Passive
139,TRUE,12/10/2024 13:47,R_114KC2lvn6gTtrL,Harm reduction organization/SSP,,New London,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],Review of ODMAP or other overdose data [e.g. EpiCenter],Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues,Communication with patients/clients",,Review of ODMAP or other overdose data [e.g. EpiCenter],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Refer patients/clients to local drug testing sites",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Harm reduction van workers/street outreach,Client-facing staff,Medical providers","Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH],Other harm reduction funding",SSPs and substance use treatment,No,Outreach to PWUD,Platform information,Higher overdose burden,State alerts,Passive
464,TRUE,12/10/2024 14:28,R_57ViSTkICNczE9f,Other [please explain below],Community Based Organization,Fairfield,"Phone calls from local health governance,Text messages about overdoses [not from ODMAP]",,Phone calls from local health governance,,My organization does not respond to overdoses,,Organization does not receive information from CT DPH,My organization does not receive external funding for overdose prevention,Other,No,My organization does not respond to overdoses,Local alerts,Higher overdose burden,Local alerts,Collaborative
225,TRUE,12/12/2024 5:21,R_6wY8J3qTrgSaUyB,Local ambulance/EMS service,,Hartford,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Regular messages [e.g. listserv] from local first responder agency,Communication with colleagues",,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Inform the public about overdoses,Be on higher alert for an influx of patients,Increased surveillance of affected areas,Investigate reasons for recent overdoses,Refer patients/clients to local drug testing sites",,Medical providers,"Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH]",First responder,No,Outreach to PWUD,State alerts,Higher overdose burden,State alerts,Passive
207,TRUE,12/16/2024 7:09,R_3fHSDulkWpM5V2r,Fire department,,"Tolland,Windham,Hartford","ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Regular messages [e.g. listserv] from local first responder agency,Regular messages [e.g. listserv] from opioid task force, prevention councils or other source,Communication with colleagues",,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc]",,"First responders,Paramedics,Emergency department",Department of Public Health [DPH],First responder,No,Outreach to PWUD,State alerts,Lower overdose burden,State alerts,Passive
115,TRUE,12/17/2024 10:34,R_1s66KxgCAignR8F,Local ambulance/EMS service,,Hartford,"ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],ODMAP spike alert emails from local health governance [e.g. local health department/health district],Regular messages [e.g. listserv] from local first responder agency,Communication with colleagues",,ODMAP spike alert emails from Connecticut Department of Public Health [CT DPH],,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Notify people who use drugs about recent overdoses,Provide people who use drugs with harm reduction education [""don't use alone and go slow""],Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Medical providers,Emergency department",Department of Public Health [DPH],First responder,No,Outreach to PWUD,State alerts,Higher overdose burden,State alerts,Passive
85,TRUE,12/18/2024 6:34,R_5FnIxmNCnMvJk89,"Local ambulance/EMS service,Hospital",,Hartford,I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,Be on higher alert for an influx of patients,,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,First responder,No,Clinical and operational changes,I don't receive updates or information about overdoses,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
140,TRUE,12/18/2024 6:35,R_1EAHui4WekDZ4qq,"Local ambulance/EMS service,Other [please explain below]",American Medical Response Waterbury ,"Litchfield,New Haven,Hartford",I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,Notify people who use drugs about recent overdoses,,I am not sure,My organization does not receive external funding for overdose prevention,First responder,No,Outreach to PWUD,I don't receive updates or information about overdoses,Lower overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
326,TRUE,12/18/2024 6:38,R_5qluOR3XdUG3qWg,Local ambulance/EMS service,,Litchfield,Communication with colleagues,,Insights from harm reduction services,,Be on higher alert for an influx of patients,,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],First responders",My organization does not receive external funding for overdose prevention,First responder,Yes,Clinical and operational changes,Peer information sharing,Lower overdose burden,Peer information sharing,Collaborative
126,TRUE,12/18/2024 7:03,R_3o908PfY8zbChpv,Local health department/district,,Fairfield,I don’t receive updates or information about overdoses,,Insights from nearby drug testing sites,,"Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",My organization does not receive external funding for overdose prevention,Government and health district,Yes,Informing the public,Peer information sharing,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
88,TRUE,12/18/2024 9:16,R_8Rj0N6bvKrFwAo1,Local ambulance/EMS service,,Hartford,Communication with colleagues,,Communication with colleagues,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc],Inform the public about overdoses",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",Department of Public Health [DPH],First responder,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
196,TRUE,12/18/2024 9:18,R_3Gx0BqOwuLzxqoe,Hospital,,Hartford,I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,"Inform the public about substances causing overdoses [e.g. fentanyl-contaminated crack] if known,Inform the public about overdoses,Be on higher alert for an influx of patients",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager],Client-facing staff,Other staff,Medical providers,Emergency department",My organization does not receive external funding for overdose prevention,First responder,No,Informing the public,I don't receive updates or information about overdoses,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
554,TRUE,12/18/2024 9:25,R_6Cx5MCgojSj5By5,Local ambulance/EMS service,,New London,I don’t receive updates or information about overdoses,,I don’t receive updates or information about overdoses,,"Increased harm reduction supply distribution in affected areas [naloxone, fentanyl test strips etc]",,"Leadership [executive director, administrative office, chief, mayor/selectman/town manager]",Other harm reduction funding,First responder,No,Outreach to PWUD,I don't receive updates or information about overdoses,Higher overdose burden,I don't receive updates or information about ODs,I don't receive updates or information about overdoses
2166,TRUE,12/18/2024 9:51,R_3TGZjKBf9MgfBqN,Local ambulance/EMS service,,Hartford,"Communication with colleagues,Communication with patients/clients",,Communication with colleagues,,"Notify people who use drugs about recent overdoses,Be on higher alert for an influx of patients,Modify or elevate preemptive overdose prevention protocols",,I am not sure,"Department of Mental Health and Addiction Services [DMHAS],Department of Public Health [DPH]",First responder,No,Outreach to PWUD,Peer information sharing,Higher overdose burden,Peer information sharing,Collaborative
67,FALSE,1/6/2025 4:44,R_6VflNM7XHvV1hTj,,,,,,,,,,,,,No,,,,,
346995,FALSE,1/9/2025 12:04,R_6Al9jvAu9C5L8tj,,,,,,,,,,,,,No,,,,,
259053,FALSE,1/9/2025 13:02,R_1hDCAZfRsUFvry4,,,,,,,,,,,,,No,,,,,
